epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
86;0.0011243425542488694;0.001;0.026266008615493774;0.0011243425542488694;0.0014611438382416964;0.03135586157441139;0.0014611438382416964
87;0.0011928676394745708;0.001;0.02715018205344677;0.0011928676394745708;0.001505665248259902;0.03158817067742348;0.001505665248259902
88;0.0009728115983307362;0.001;0.024573514237999916;0.0009728115983307362;0.0007858035387471318;0.020948514342308044;0.0007858035387471318
89;0.001001717522740364;0.001;0.023327399045228958;0.001001717522740364;0.0007777205319143832;0.021896284073591232;0.0007777205319143832
90;0.0011617644922807813;0.001;0.02604244090616703;0.0011617644922807813;0.0013472252758219838;0.02904422953724861;0.0013472252758219838
91;0.0008712284616194665;0.001;0.023149829357862473;0.0008712284616194665;0.0006445071776397526;0.01994791440665722;0.0006445071776397526
92;0.0007381209870800376;0.001;0.02100365236401558;0.0007381209870800376;0.0008108815527521074;0.021051552146673203;0.0008108815527521074
93;0.0008392240852117538;0.001;0.0219681728631258;0.0008392240852117538;0.0007906216196715832;0.02106601558625698;0.0007906216196715832
94;0.001137702725827694;0.001;0.025750894099473953;0.001137702725827694;0.0013697257963940501;0.029327381402254105;0.0013697257963940501
95;0.0009021988953463733;0.001;0.02359229326248169;0.0009021988953463733;0.0007689126650802791;0.021337606012821198;0.0007689126650802791
96;0.0007466397364623845;0.001;0.021211910992860794;0.0007466397364623845;0.0006570005207322538;0.021370917558670044;0.0006570005207322538
97;0.0008796449401415884;0.001;0.022574834525585175;0.0008796449401415884;0.0008966780733317137;0.024744009599089622;0.0008966780733317137
98;0.0010258584516122937;0.001;0.024450475350022316;0.0010258584516122937;0.0006476490525528789;0.020761925727128983;0.0006476490525528789
99;0.0008090497576631606;0.001;0.021183162927627563;0.0008090497576631606;0.0008241975447162986;0.024089401587843895;0.0008241975447162986
100;0.0007488171686418355;0.001;0.021212803199887276;0.0007488171686418355;0.0006194687448441982;0.01957765221595764;0.0006194687448441982
101;0.0008124022278934717;0.001;0.021953076124191284;0.0008124022278934717;0.0006625230889767408;0.020828181877732277;0.0006625230889767408
102;0.0008218589355237782;0.001;0.02162877656519413;0.0008218589355237782;0.0009227374684996903;0.023190520703792572;0.0009227374684996903
103;0.0007474691956304014;0.001;0.02041829377412796;0.0007474691956304014;0.0008017159416340292;0.020911386236548424;0.0008017159416340292
104;0.0007066898979246616;0.001;0.020339570939540863;0.0007066898979246616;0.0006360282422974706;0.02061603218317032;0.0006360282422974706
